time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.08829625364446522,0.11317228923911885,0.12700700381024263,0.0015414373401697525,0.0018778037953216767,0.001646495812576021
2,0.09039991759226508,0.08197327327485755,0.08515354705741002,0.0012399044600038716,0.002051801900824131,0.00227322750812517
3,0.08855583870188914,0.05094199611266721,0.044633809255535374,0.0006872187239050013,0.0013469376300273242,0.0010904362203271877
4,0.09482349224925068,0.032066080196130484,0.02941802515834516,0.0005389598163133792,0.0002319374442883887,0.00012653695875755881
5,0.10049854080496103,0.028247393969934188,0.02722205988475217,0.0004772881585958057,2.2504778432872598e-05,3.0371749995043733e-06
6,0.10706070976907486,0.028278118991725377,0.028265600028522974,0.0003734009211609754,1.961993524393414e-06,5.51428362051332e-07
7,0.11249481838098935,0.028768207538715673,0.028921849209242248,0.00033587874941304205,1.8786858061655365e-07,5.8100117202268925e-08
8,0.11828104429947539,0.029092123527312597,0.029130593064097664,0.0002730754053512144,1.7627378614918974e-08,4.557863842081812e-09
