time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.02576176315264045,0.027822620741894212,0.02805036809460455,1.9631214436932336e-06,6.308410089926973e-07,4.6154132508917153e-07
2,0.02576606855045392,0.028622447914032914,0.028739320357045486,1.5457967171121293e-06,1.8288307064141406e-07,1.0498964241124506e-07
3,0.02599945533214984,0.02898142927856708,0.02902711906911884,1.2272938979675957e-06,3.704868035349869e-08,2.3022994247480854e-08
4,0.026240219672490458,0.029124606696965784,0.029135439448913905,8.380142245498063e-07,4.74259538540634e-09,4.579260890921458e-09
5,0.026549673697621245,0.029178592880184248,0.029184568050981793,1.671700325126301e-07,7.226318883492372e-10,4.561158898727952e-10
6,0.02660140088467864,0.029199432141383465,0.029202710740719416,1.3437520933314097e-07,1.17790558233155e-10,4.048551918497145e-11
7,0.026656933444036163,0.029207144597544046,0.029208717004258356,9.37607008744632e-08,1.4258989313567375e-11,5.076273961155647e-12
8,0.026700186226773535,0.029210330793760914,0.029210729677510115,8.415398367690257e-08,8.378833996790415e-13,1.819154858769402e-13
