time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.025496132640359617,0.027607009038182632,0.027871543024722705,2.1148093649168574e-06,7.919797144877918e-07,5.772701621362648e-07
2,0.025499730026071084,0.028495013922298685,0.0286272881657476,1.7691511323266317e-06,2.8510332446151063e-07,1.5039910418963424e-07
3,0.02575155423532059,0.028902938746682406,0.028964471052986617,1.4408826784363265e-06,7.108912254510962e-08,3.4869673102821884e-08
4,0.02607218086996513,0.029087605310466957,0.02910471236266946,9.111564608872161e-07,8.821270981546089e-09,6.576567645683702e-09
5,0.026376066447476813,0.029159962567739214,0.029169356035864794,1.8286328867179882e-07,1.8462974170263498e-09,1.130068312210158e-09
6,0.02644621503989242,0.029191503693046114,0.02919614620612192,1.1514193898148729e-07,2.9525238235635533e-10,1.0675151131275361e-10
7,0.026507817702344016,0.029203587329457686,0.02920626306712544,3.728186622904764e-08,3.663522910163511e-11,9.13552266210624e-12
8,0.02654453983591636,0.02920899768305133,0.029209789020865778,2.5902002228810092e-08,3.0188228551324136e-12,6.979309945092945e-13
