time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.21959999999999996,0.2496,0.2554,0.03682144,0.033411840000000005,0.03956564000000001
2,0.0966,0.1278,0.211,0.007604839999999999,0.008529960000000001,0.0062474
3,0.08220000000000001,0.1438,0.2858,0.00819396,0.00811636,0.00442996
4,0.0494,0.1062,0.3038,0.0033240400000000003,0.007789160000000001,0.0025435599999999994
5,0.0518,0.08420000000000001,0.34279999999999994,0.0031275600000000006,0.00609956,0.0041569599999999995
6,0.0508,0.08080000000000001,0.4010000000000001,0.003885760000000001,0.00436736,0.0029826000000000006
7,0.0456,0.07300000000000001,0.41980000000000006,0.0017094399999999996,0.0027474,0.003827560000000002
8,0.023599999999999996,0.07040000000000002,0.4572,0.00028544,0.0016782399999999997,0.001968960000000001
