time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.025480687260066755,0.027607174594270284,0.027864536441946367,2.1404857568210346e-06,7.633034614431363e-07,5.729752498492967e-07
2,0.02547919506776075,0.02848791948191073,0.02862035394575008,1.7737719739144078e-06,2.808275765992699e-07,1.5009702239619235e-07
3,0.02574341886419227,0.028900216852315818,0.028958316802936656,1.372290703031081e-06,6.786200472718353e-08,3.6535200668334426e-08
4,0.02606160358253575,0.02908507501228114,0.02910107345853002,8.736742400105464e-07,9.19663979497775e-09,7.577907464306714e-09
5,0.026354960977206895,0.029157992447664767,0.029167921452197057,1.7520951082190793e-07,2.0885365820587268e-09,1.1519668734889703e-09
6,0.02642647201003103,0.02919082568508329,0.029195753114153785,9.877407556935395e-08,3.2013268803903027e-10,1.0025643871642231e-10
7,0.02648677695429643,0.029203374424480632,0.029206051266958754,2.6116300527753953e-08,3.2594443032347673e-11,9.166509894659385e-12
8,0.02652476381707209,0.029208943092335047,0.029209770311639023,1.3743679538331011e-08,2.8771732160782397e-12,1.7764650742226036e-13
