time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.025720604798881733,0.019293429046328293,0.01850792268758802,2.0467732270153906e-06,1.4255876624657076e-05,8.65416956505455e-06
2,0.025708066904004193,0.020549179952457423,0.018697034849759042,1.8005750660598214e-06,3.018496646300298e-05,5.850881299478876e-06
3,0.025954619947118323,0.022492551143275023,0.019074421642340786,1.321668034960922e-06,3.912293200347489e-05,3.6558353395225894e-06
4,0.026230112384201795,0.02394863700223085,0.019790691412139686,9.25759809357773e-07,3.907991739017305e-05,2.3182070851319134e-06
5,0.026546744989286983,0.024600966753519908,0.0202710479257065,2.52002521183263e-07,3.055966575126914e-05,1.4455560193460814e-06
6,0.026627582310697666,0.025727054737599148,0.020480068937943626,1.492988235590308e-07,2.480722906212886e-05,1.1352232215717388e-06
7,0.026681820450975783,0.02725040676123882,0.020665558977745788,8.78505804604947e-08,2.0662959987923986e-05,9.764962591882096e-07
8,0.026714564393723935,0.027750048900865843,0.020876055458013854,9.355542532810378e-08,1.930652582887727e-05,1.1345590015493167e-06
