time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.025720604798881733,0.027794294045838986,0.028026679863724806,2.0467732270153906e-06,7.396306746576945e-07,5.501431298330802e-07
2,0.025708066904004193,0.02861172676001382,0.02873459581255101,1.8005750660598214e-06,2.3722304610496733e-07,1.2857193487118699e-07
3,0.025954619947118323,0.028960952100915267,0.029025612833499182,1.321668034960922e-06,6.51711496324419e-08,2.49307811422641e-08
4,0.026230112384201795,0.029119250380191555,0.02913773310451126,9.25759809357773e-07,6.840871286875604e-09,3.8311074555025105e-09
5,0.026546744989286983,0.029176281804990056,0.029185110614877323,2.52002521183263e-07,1.1562632981273958e-09,4.444877921856572e-10
6,0.026627582310697666,0.02919886311059343,0.02920287176598803,1.492988235590308e-07,1.5893784898067004e-10,3.39685631338159e-11
7,0.026681820450975783,0.029207090245821053,0.029208823176439327,8.78505804604947e-08,1.607072126909459e-11,3.821806736001373e-12
8,0.026714564393723935,0.02921024333900866,0.02921074109925146,9.355542532810378e-08,1.2031518602250502e-12,1.851338842892076e-13
