time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.05709284093039285,0.12381124567341129,0.12707971772896656,0.0008398265279311412,0.001874359109590637,0.002283754032135548
2,0.05208417879729546,0.09753693206346145,0.08944258768455116,0.0003137826981324539,0.0026318013981008644,0.0023847364291289842
3,0.05058743114372808,0.0510274561856896,0.04266508645471369,8.231282223569143e-05,0.0018966170752092242,0.001324403386491549
4,0.05166070637408313,0.026907469190515506,0.02458822210618789,8.506589538673521e-05,0.00025220299808830486,0.00012902803401397073
5,0.05287767388846313,0.023599720400335297,0.023652461871289956,7.381738870947164e-05,8.204307202559448e-06,6.7050466810594105e-06
6,0.05306645030265809,0.02591530301244115,0.026526722949812204,7.32667387625548e-05,4.652369395521932e-06,2.5057582077901084e-06
7,0.053227075475881735,0.02773557588858332,0.028211726332943506,7.877557736834738e-05,1.1745691765620088e-06,3.69547735689135e-07
8,0.053123437756373466,0.028722224165597218,0.0288938751141859,8.163741496065601e-05,1.2773033264123595e-07,1.5815750264137385e-08
