time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.09415359057935596,0.10812088355794415,0.10273687653186865,0.000697755025739646,0.0007780271692182012,0.0011615728419574144
2,0.09535733861870996,0.06498392311657744,0.0598331766556736,0.0006484276045825171,0.0011000980506935252,0.0010094300159262488
3,0.0951854244536491,0.04057785062745003,0.035888881801491454,0.0005984605128784761,0.0005603505587494008,0.00045399366252784837
4,0.0992091020003597,0.02961894950713317,0.028339070946153254,0.0006232692016935932,8.363639827218559e-05,4.859151671614049e-05
5,0.10349395743060832,0.027879398107540393,0.027818998439979294,0.00054824703385481,9.235573271105358e-06,2.4920807203895985e-06
6,0.1058345216176529,0.028398565942510234,0.02860138360591413,0.0006226431395133504,1.33851335766466e-06,3.7321808238424123e-07
7,0.10594126923524208,0.028818648874085726,0.029029377465493986,0.0006288526943459667,2.6442135062542235e-07,8.436009082935078e-08
8,0.10547985539239861,0.02908373648856418,0.0291613747790388,0.0006539217814882361,6.321529740600468e-08,6.8010338368357225e-09
