time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.07234960882112468,0.1098049828971779,0.10062526782039165,0.0006410224647711414,0.0017234089948633083,0.0020093952501518382
2,0.06993874375867777,0.042433923558530644,0.030877501403000166,0.00039511308570376456,0.0009301007086044284,0.0002622671419930426
3,0.0696510471834295,0.026374502315453997,0.02520365546884494,0.00032779900161373354,8.055237087918474e-05,3.134091410452681e-06
4,0.07184860007098731,0.027336611332509645,0.02798421234843329,0.0003328722507603621,2.1779069137389002e-06,9.224558449184591e-07
5,0.0749516959533776,0.02873013030465359,0.02898763537313072,0.00030759630506114886,3.148542308869336e-07,4.7360512139932384e-08
6,0.07706224800922022,0.029136700432600145,0.02918390488817183,0.0003178651294576612,1.2500202690797058e-08,1.009162171629937e-09
7,0.07763875473330446,0.029201544678834644,0.029208759823192456,0.0003191554441461993,1.3463669038409338e-10,6.807091562703382e-12
8,0.07765314205124518,0.029210543659536892,0.029211183038374625,0.00033342791485663545,6.615379854004489e-13,3.1600073055492305e-14
