time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.07233023770425985,0.12566744605666053,0.12423958073012586,0.000678215515149893,0.0011635846036410647,0.0008442748584347557
2,0.0694091210565026,0.08727226950764955,0.08170970449119676,0.00038130020440817994,0.0018016259245664471,0.0006444637734998201
3,0.06948969750103819,0.04564308244714993,0.04546507980774393,0.0002725039279377801,0.0010728775972544255,0.000278457644733494
4,0.07071710093090128,0.027140918223209777,0.027719145811292943,0.00024424965114047844,0.00011486480156507883,3.7443805964123166e-05
5,0.07437405256241494,0.025367616343530845,0.026070316877605894,0.00024528869542313295,4.461429871875193e-06,5.115331131719411e-06
6,0.07409377440727971,0.0271754345375021,0.027488819547209265,0.00025147921466338807,1.8754357590872409e-06,4.395317453025759e-07
7,0.0757400890303805,0.02837066710298524,0.028646701377849047,0.000287836955534,4.569609819259135e-07,7.626438486853736e-08
8,0.07687731485586849,0.028978972174240884,0.029032452516723137,0.0002907539978334172,3.4745630831521187e-08,1.4192199425481161e-08
