time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.22539999999999996,0.23539999999999997,0.2226,0.03937924,0.03515924,0.03318644
2,0.09559999999999999,0.1326,0.11579999999999999,0.0067134399999999985,0.009870440000000001,0.006689959999999999
3,0.08580000000000002,0.1628,0.11820000000000001,0.006677959999999999,0.01276976,0.006941959999999999
4,0.043000000000000003,0.1348,0.12179999999999999,0.0023162,0.01126016,0.00404116
5,0.039200000000000006,0.11040000000000001,0.1424,0.004149760000000001,0.00842944,0.004094240000000001
6,0.0528,0.1122,0.13520000000000001,0.004618559999999999,0.00804596,0.005890559999999999
7,0.0396,0.1068,0.1394,0.0013622399999999998,0.01191776,0.00705364
8,0.0182,0.0758,0.1156,1.4759999999999993e-05,0.0025403600000000006,0.004195040000000001
