time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.2736,0.32622200000000007,0.32622200000000007,0.0572590984,0.050066509516,0.050066509516
2,0.20300399999999996,0.267832,0.267832,0.038036651184,0.03676472137600001,0.03676472137600001
3,0.127882,0.19467199999999998,0.19467199999999998,0.016709196076,0.019191830816000004,0.019191830816000004
4,0.0854,0.14836,0.14836,0.009399512799999999,0.012063670399999999,0.012063670399999999
5,0.053826,0.111128,0.111128,0.0028699269240000003,0.003712167615999999,0.003712167615999999
6,0.040274000000000004,0.09967199999999998,0.09967199999999998,0.0017528933239999997,0.0022505956159999995,0.0022505956159999995
7,0.032056,0.091442,0.091442,0.0007658736640000001,0.0010127618359999995,0.0010127618359999995
8,0.023691999999999998,0.08708400000000001,0.08708400000000001,1.6161936000000004e-05,0.00012701854399999998,0.00012701854399999998
