time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.07233023770425985,0.10221994986327085,0.12423958073012586,0.000678215515149893,0.00048447999122252025,0.0008442748584347557
2,0.0694091210565026,0.1350434679331965,0.08170970449119676,0.00038130020440817994,0.0004310873170993224,0.0006444637734998201
3,0.06948969750103819,0.051233969232174326,0.04546507980774393,0.0002725039279377801,0.000222914433377756,0.000278457644733494
4,0.07071710093090128,0.022954695673116414,0.027719145811292943,0.00024424965114047844,3.409087346632173e-06,3.7443805964123166e-05
5,0.07437405256241494,0.026496229380955603,0.026070316877605894,0.00024528869542313295,7.754819544825349e-07,5.115331131719411e-06
6,0.07409377440727971,0.028049682602321963,0.027488819547209265,0.00025147921466338807,2.278998490343191e-07,4.395317453025759e-07
7,0.0757400890303805,0.028929737946577116,0.028646701377849047,0.000287836955534,3.473340699809527e-08,7.626438486853736e-08
8,0.07687731485586849,0.029101966376500258,0.029032452516723137,0.0002907539978334172,8.768567589349426e-09,1.4192199425481161e-08
