time,mean_direct,mean_order,var_direct,var_order
0,0.7982,0.8202,0.000502759999999999,0.000530759999999999
1,0.42860000000000004,0.4928,0.0010128400000000005,0.001215360000000001
2,0.11800000000000002,0.23280000000000003,0.0008024000000000002,0.00016656
3,0.017000000000000005,0.015599999999999998,7.780000000000002e-05,7.264000000000001e-05
4,0.2992,0.06360000000000002,0.0008793599999999997,0.00011743999999999999
5,0.6776000000000001,0.3181999999999999,0.000518239999999999,0.0006507599999999998
6,0.9667999999999999,0.6410000000000001,6.576000000000013e-05,0.0007642000000000001
7,0.914,0.8966,0.0003056,0.001124040000000001
