time,mean_direct,mean_unorder,mean_order,var_direct,var_unorder,var_order
1,0.21959999999999996,0.279,0.279,0.03682144,0.03694659999999999,0.03694659999999999
2,0.0966,0.156,0.156,0.007604839999999999,0.011431199999999999,0.011431199999999999
3,0.08220000000000001,0.14980000000000002,0.14980000000000002,0.00819396,0.006457159999999999,0.006457159999999999
4,0.0494,0.10980000000000001,0.10980000000000001,0.0033240400000000003,0.007225959999999998,0.007225959999999998
5,0.0518,0.10880000000000001,0.10880000000000001,0.0031275600000000006,0.00610256,0.00610256
6,0.0508,0.12400000000000003,0.12400000000000003,0.003885760000000001,0.0039032000000000003,0.0039032000000000003
7,0.0456,0.09359999999999999,0.09359999999999999,0.0017094399999999996,0.0020942400000000007,0.0020942400000000007
8,0.023599999999999996,0.098,0.098,0.00028544,0.0014248000000000002,0.0014248000000000002
